Date,Dernier,Ouv., Plus Haut,Plus Bas,Vol.,Variation %,Close,High,Low,Open
02/11/2015,90.0,90.0,90.0,90.0,"0,00K","0,00%",90.0,90.0,90.0,90.0
05/11/2015,90.5,90.5,90.5,90.5,"0,01K","0,56%",90.5,90.5,90.5,90.5
09/11/2015,90.505,90.505,90.505,90.505,"0,03K","0,01%",90.505,90.505,90.505,90.505
10/11/2015,90.6,90.6,90.6,90.6,"0,01K","0,10%",90.6,90.6,90.6,90.6
16/11/2015,91.0,91.0,91.0,91.0,"0,03K","0,44%",91.0,91.0,91.0,91.0
17/11/2015,906.0,906.0,906.0,906.0,"0,10K","-99,00%",906.0,906.0,906.0,906.0
18/11/2015,905.0,905.0,905.0,905.0,"7,80K","-0,11%",905.0,905.0,905.0,905.0
19/11/2015,905.0,905.0,905.0,905.0,"1,00K","0,00%",905.0,905.0,905.0,905.0
20/11/2015,900.0,900.0,900.0,900.0,"25,50K","-0,55%",900.0,900.0,900.0,900.0
23/11/2015,851.0,851.0,851.0,851.0,"0,10K","-5,44%",851.0,851.0,851.0,851.0
25/11/2015,900.0,900.0,900.0,900.0,"0,20K","5,76%",900.0,900.0,900.0,900.0
26/11/2015,905.0,905.0,905.0,905.0,"0,60K","0,56%",905.0,905.0,905.0,905.0
27/11/2015,905.0,905.0,905.0,905.0,"1,10K","0,00%",905.0,905.0,905.0,905.0
30/11/2015,905.0,905.0,905.0,905.0,"0,20K","0,00%",905.0,905.0,905.0,905.0
01/12/2015,905.0,905.0,905.0,905.0,"0,40K","0,00%",905.0,905.0,905.0,905.0
03/12/2015,905.0,905.0,905.0,905.0,"0,40K","0,00%",905.0,905.0,905.0,905.0
04/12/2015,905.0,905.0,905.0,905.0,"0,10K","0,00%",905.0,905.0,905.0,905.0
07/12/2015,906.0,906.0,906.0,906.0,"0,10K","0,11%",906.0,906.0,906.0,906.0
08/12/2015,910.0,910.0,910.0,910.0,"1,30K","0,44%",910.0,910.0,910.0,910.0
09/12/2015,906.0,906.0,906.0,906.0,"0,30K","-0,44%",906.0,906.0,906.0,906.0
10/12/2015,908.0,908.0,908.0,908.0,"0,20K","0,22%",908.0,908.0,908.0,908.0
11/12/2015,910.0,910.0,910.0,910.0,"0,10K","0,22%",910.0,910.0,910.0,910.0
14/12/2015,910.0,910.0,910.0,910.0,"0,50K","0,00%",910.0,910.0,910.0,910.0
15/12/2015,910.0,910.0,910.0,910.0,"1,20K","0,00%",910.0,910.0,910.0,910.0
16/12/2015,905.0,905.0,905.0,905.0,"0,40K","-0,55%",905.0,905.0,905.0,905.0
18/12/2015,910.0,910.0,910.0,910.0,"1,20K","0,55%",910.0,910.0,910.0,910.0
21/12/2015,910.0,910.0,910.0,910.0,"1,80K","0,00%",910.0,910.0,910.0,910.0
23/12/2015,910.0,910.0,910.0,910.0,"0,50K","0,00%",910.0,910.0,910.0,910.0
28/12/2015,900.0,900.0,900.0,900.0,"0,20K","-1,10%",900.0,900.0,900.0,900.0
30/12/2015,910.0,910.0,910.0,910.0,"3,80K","1,11%",910.0,910.0,910.0,910.0
04/01/2016,910.0,910.0,910.0,910.0,"2,20K","0,00%",910.0,910.0,910.0,910.0
05/01/2016,910.0,910.0,910.0,910.0,"0,10K","0,00%",910.0,910.0,910.0,910.0
06/01/2016,910.0,910.0,910.0,910.0,"0,20K","0,00%",910.0,910.0,910.0,910.0
07/01/2016,910.0,910.0,910.0,910.0,"0,10K","0,00%",910.0,910.0,910.0,910.0
08/01/2016,900.0,900.0,900.0,900.0,"0,40K","-1,10%",900.0,900.0,900.0,900.0
11/01/2016,910.0,910.0,910.0,910.0,"0,10K","1,11%",910.0,910.0,910.0,910.0
12/01/2016,910.0,910.0,910.0,910.0,"0,10K","0,00%",910.0,910.0,910.0,910.0
20/01/2016,920.0,920.0,920.0,920.0,"0,60K","1,10%",920.0,920.0,920.0,920.0
21/01/2016,920.0,920.0,920.0,920.0,"0,70K","0,00%",920.0,920.0,920.0,920.0
25/01/2016,920.0,920.0,920.0,920.0,"0,30K","0,00%",920.0,920.0,920.0,920.0
26/01/2016,925.0,925.0,925.0,925.0,"1,00K","0,54%",925.0,925.0,925.0,925.0
27/01/2016,910.0,910.0,910.0,910.0,"2,50K","-1,62%",910.0,910.0,910.0,910.0
28/01/2016,910.0,910.0,910.0,910.0,"15,00K","0,00%",910.0,910.0,910.0,910.0
30/01/2016,60.5,60.5,60.5,60.5,,"6.548,35%",60.5,60.5,60.5,60.5
02/02/2016,910.0,910.0,910.0,910.0,"10,50K","-98,50%",910.0,910.0,910.0,910.0
04/02/2016,910.0,910.0,910.0,910.0,"5,00K","0,00%",910.0,910.0,910.0,910.0
05/02/2016,910.0,910.0,910.0,910.0,"5,00K","0,00%",910.0,910.0,910.0,910.0
16/02/2016,950.0,950.0,950.0,950.0,"9,70K","4,40%",950.0,950.0,950.0,950.0
18/02/2016,978.0,978.0,978.0,978.0,"0,30K","2,95%",978.0,978.0,978.0,978.0
19/02/2016,955.0,955.0,955.0,955.0,"7,00K","-2,35%",955.0,955.0,955.0,955.0
23/02/2016,955.0,955.0,955.0,955.0,"2,20K","0,00%",955.0,955.0,955.0,955.0
